GOOGL
Price            Close        High         Low        Open     Volume
Ticker           GOOGL       GOOGL       GOOGL       GOOGL      GOOGL
Date                                                                 
2025-01-02  188.691010  191.250991  186.768546  189.906251   20370800
2025-01-03  191.041779  192.456252  189.238842  190.623419   18596200
2025-01-06  196.101990  197.446729  193.093782  193.223264   29563600
2025-01-07  194.727386  200.215886  193.840859  196.341062   26487200
2025-01-08  193.193375  195.524242  191.629507  191.818769   24864800
2025-01-10  191.290802  195.753335  189.567555  193.541995   26665200
2025-01-13  190.264832  190.434167  186.629077  189.328511   21823700
2025-01-14  188.920105  191.231046  187.575365  190.493943   17174900
2025-01-15  194.787125  195.593962  191.111518  192.336715   21776000
2025-01-16  192.157440  194.717406  192.057824  193.382638   17815400
2025-01-17  195.235367  196.460564  192.994144  195.763298   27735100
2025-01-21  197.277374  201.500824  197.098069  198.293399   29971300
2025-01-22  197.596115  199.697884  196.759396  198.283426   26200600
2025-01-23  197.207642  199.518598  194.438488  197.367021   26951400
2025-01-24  199.428955  200.116251  197.227570  197.327186   23877500
2025-01-27  191.061722  196.111950  189.985933  191.659387   41728900
2025-01-28  194.538116  194.717407  189.936129  191.998061   24157900
2025-01-29  194.647675  196.022281  192.675388  194.797083   18218300
2025-01-30  200.086380  200.614311  196.898867  197.227581   24354700
2025-01-31  203.224106  204.678402  201.012765  201.211982   32001100
2025-02-03  200.444962  202.955135  199.319380  199.907075   27838300
2025-02-04  205.574890  206.242275  202.018810  202.596549   43856400
2025-02-05  190.583588  191.998046  187.296459  190.324607   70373900
2025-02-06  190.852524  191.350573  187.983755  188.760710   29297400
2025-02-07  184.616959  190.434172  182.525160  190.304690   49315000
2025-02-10  185.742569  187.465816  185.134948  186.619141   23105600
2025-02-11  184.597031  186.210706  183.561079  184.308153   21239500
2025-02-12  182.893707  184.387856  181.120653  182.505229   22072600
2025-02-13  185.413834  185.553287  182.425537  183.600942   21402500
2025-02-14  184.507385  185.672819  183.600947  184.338050   20448400
2025-02-18  183.053085  185.234544  181.031006  184.875948   29916700
2025-02-19  184.547226  184.736487  182.873772  183.351910   19549400
2025-02-20  183.839996  184.587070  182.007178  184.079066   20441500
2025-02-21  178.959122  184.616956  178.381383  184.427695   35199200
2025-02-24  178.550720  182.405618  178.192124  181.280037   29854200
2025-02-25  174.735657  178.042712  174.008509  177.345431   41913400
2025-02-26  172.056137  175.393074  170.910630  174.387020   35431300
2025-02-27  167.842651  173.879008  167.284838  173.311239   39991000
2025-02-28  169.615707  169.944422  166.119406  168.021943   48130600
